1	7184,2624	23916,966200000003	22791,3619	19489,7046	 7113,138199999999
2	7087,3814	11775,6768	11859,3253	10242,5439	4512,6399
3	6869,130999999999	8128,964999999999	8039,7137	6889,6539	 3053,689
4	6715,0361	6270,3351	6170,357	5258,5358	2509,6198
5	6716,4902	5039,9580000000005	4999,6426	4285,947	 2055,3043000000002
6	6718,820900000001	4200,8189	4225,2493	3598,3387000000002	 1924,2130000000002
8	6798,080599999999	3318,6892	3181,5039	2691,3642	 1590,2957000000001
10	6688,822	2616,7521	2702,6222000000002	2238,7792	1346,706
12	6708,665300000001	2292,3172999999997	2317,6693999999998	 1962,3689	1105,59
16	6804,8742	2162,7697	2197,6728	1808,2399	1058,6709999999998
20	6782,0608999999995	1961,9531	2019,0907	1717,6010999999999	 1017,333
24	6712,296799999999	2014,5529	1937,1645	1647,3151999999998	 964,0535

